cve,blocked,name,severity,cvss-score,cwe-id,tags
CVE-2019-8937,Blocked,HotelDruid 2.3.0 - Cross-Site Scripting,medium,6.1,CWE-79,"packetstorm,cve,cve2019,xss,hoteldruid,edb"
CVE-2022-0653,Blocked,Wordpress Profile Builder Plugin Cross-Site Scripting,medium,6.1,CWE-79,"cve,cve2022,wordpress,xss,wp-plugin"
CVE-2022-29349,Not Blocked,kkFileView 4.0.0 - Cross-Site Scripting,medium,6.1,CWE-79,"cve,cve2022,kkFileView,xss"
CVE-2012-0901,Blocked,YouSayToo auto-publishing 1.0 - Cross-Site Scripting,medium,None,None,"wp-plugin,packetstorm,cve,cve2012,wordpress,xss"
CVE-2022-29301,Blocked,SolarView Compact 6.00 - 'pow' Cross-Site Scripting,high,None,None,"cve,cve2022,xss,solarview,edb"
CVE-2019-15889,Blocked,WordPress Download Manager <2.9.94 - Cross-Site Scripting,medium,6.1,CWE-79,"cve,cve2019,wordpress,xss,wp-plugin"
CVE-2013-4625,Blocked,WordPress Plugin Duplicator < 0.4.5 - Cross-Site Scripting,medium,None,None,"seclists,cve,cve2013,wordpress,xss,wp-plugin,packetstorm"
CVE-2019-9955,Blocked,Zyxel - Cross-Site Scripting,medium,6.1,CWE-79,"zyxel,packetstorm,seclists,edb,cve,cve2019,xss"
CVE-2021-24407,Blocked,WordPress Jannah Theme <5.4.5 - Cross-Site Scripting,medium,6.1,CWE-79,"cve,cve2021,wordpress,xss,wp-theme,wpscan"
CVE-2022-23808,Blocked,phpMyAdmin < 5.1.2 - Cross-Site Scripting,medium,6.1,CWE-79,"cve,cve2022,phpmyadmin,xss"
CVE-2022-31299,Blocked,Haraj 3.7 - Cross-Site Scripting,medium,6.1,CWE-79,"cve,cve2022,haraj,xss"
CVE-2022-0381,Blocked,WordPress Embed Swagger <=1.0.0 - Cross-Site Scripting,medium,6.1,CWE-79,"cve,cve2022,swagger,xss,wordpress"
CVE-2017-12583,Blocked,DokuWiki - Cross-Site Scripting,medium,6.1,CWE-79,"cve,cve2017,xss,dokuwiki"
CVE-2019-1010287,Blocked,Timesheet Next Gen <=1.5.3 - Cross-Site Scripting,medium,6.1,CWE-79,"cve,cve2019,timesheet,xss"
CVE-2022-1946,Blocked,WordPress Gallery <2.0.0 - Cross-Site Scripting,medium,6.1,CWE-79,"wpscan,cve2022,wp,xss,wordpress,gallery,unauth,cve,wp-plugin"
