cve,blocked,name,severity,cvss-score,cwe-id,tags
CVE-2009-0932,Blocked,Horde/Horde Groupware - Local File Inclusion,high,8.6,CWE-22,"cve,cve2009,horde,lfi,traversal,edb"
CVE-2021-41291,Blocked,ECOA Building Automation System - Directory Traversal Content Disclosure,high,7.5,CWE-22,"cve,cve2021,ecoa,lfi,traversal"
CVE-2012-1226,Blocked,Dolibarr ERP/CRM 3.2 Alpha - Multiple Directory Traversal Vulnerabilities,high,None,None,"cve,cve2012,lfi,dolibarr,traversal,edb"
CVE-2008-6668,Blocked,nweb2fax <=0.2.7 - Local File Inclusion,high,8.6,CWE-22,"cve2008,nweb2fax,lfi,traversal,edb,cve"
CVE-2012-4878,Blocked,FlatnuX CMS - Directory Traversal,high,None,None,"cve2012,lfi,traversal,edb,packetstorm,cve"
CVE-2021-30497,Blocked,Ivanti Avalanche 6.3.2 - Local File Inclusion,high,7.5,CWE-36,"cve,cve2021,avalanche,traversal,lfi"
CVE-2012-0896,Blocked,Count Per Day <= 3.1 - download.php f Parameter Traversal Arbitrary File Access,high,None,None,"packetstorm,cve,cve2012,lfi,wordpress,wp-plugin,traversal"
CVE-2022-40734,Blocked,UniSharp aka Laravel Filemanager v2.5.1 - Directory Traversal,medium,6.5,CWE-22,"cve,cve2022,laravel,unisharp,lfi,traversal"
CVE-2022-36642,Blocked,Omnia MPX 1.5.0+r1 - Path Traversal,critical,9.8,CWE-862,"traversal,omnia,edb,cve,cve2022,lfi"
CVE-2021-28149,Blocked,Hongdian H8922 3.0.5 Devices - Local File Inclusion,medium,6.5,CWE-22,"cve,cve2021,hongdian,traversal"
CVE-2021-42013,Not Blocked,Apache 2.4.49/2.4.50 - Path Traversal and Remote Code Execution,critical,9.8,CWE-22,"cve,cve2021,lfi,apache,rce,misconfig,traversal,kev"
CVE-2020-12447,Not Blocked,Onkyo TX-NR585 Web Interface - Directory Traversal,high,7.5,CWE-22,"cve,cve2020,onkyo,lfi,traversal"
CVE-2018-9118,Blocked,WordPress 99 Robots WP Background Takeover Advertisements <=4.1.4 - Local File Inclusion,high,7.5,CWE-22,"edb,cve,cve2018,wordpress,wp-plugin,lfi,traversal,wp"
CVE-2012-0991,Blocked,OpenEMR 4.1 - Local File Inclusion,high,None,None,"lfi,openemr,traversal,edb,cve,cve2012"
CVE-2021-43734,Blocked,kkFileview v4.0.0 - Directory Traversal,high,7.5,CWE-22,"cve,cve2021,kkfileview,traversal"
CVE-2018-20463,Blocked,JSmol2WP <= 1.07 - Directory Traversal,high,7.5,CWE-22,"wp,wp-plugin,wordpress,jsmol2wp,wpscan,cve,cve2018,traversal"
CVE-2018-18777,Blocked,Microstrategy Web 7 - Local File Inclusion,medium,4.3,CWE-22,"traversal,edb,packetstorm,cve,cve2018,microstrategy,lfi"
CVE-2018-1271,Blocked,Spring MVC Framework - Local File Inclusion,medium,5.9,CWE-22,"cve,cve2018,spring,lfi,traversal"
CVE-2021-3374,Not Blocked,Rstudio Shiny Server <1.5.16 - Local File Inclusion,medium,5.3,CWE-22,"cve,cve2021,rstudio,traversal"
CVE-2017-12637,Blocked,SAP NetWeaver Application Server Java 7.5 - Local File Inclusion,high,7.5,CWE-22,"cve,cve2017,sap,lfi,java,traversal"
CVE-2018-15138,Blocked,LG-Ericsson iPECS NMS 30M - Local File Inclusion,high,7.5,CWE-22,"cve,cve2018,ericsson,lfi,traversal,edb"
CVE-2017-16806,Partial block (50.0%),Ulterius Server < 1.9.5.0 - Directory Traversal,high,7.5,CWE-22,"cve2017,ulterius,traversal,edb,cve"
CVE-2018-0296,Blocked,Cisco ASA - Local File Inclusion,high,7.5,CWE-22,"edb,cve,cve2018,cisco,lfi,traversal,asa,kev"
CVE-2021-41773,Not Blocked,Apache 2.4.49 - Path Traversal and Remote Code Execution,high,7.5,CWE-22,"cve,cve2021,lfi,rce,apache,misconfig,traversal,kev"
CVE-2019-10717,Blocked,BlogEngine.NET 3.3.7.0 - Local File Inclusion,high,7.1,CWE-22,"cve,cve2019,blogengine,lfi,traversal"
CVE-2020-5410,Blocked,Spring Cloud Config Server - Local File Inclusion,high,7.5,CWE-22,"cve,cve2020,lfi,springcloud,config,traversal,kev"
CVE-2009-1558,Blocked,Cisco Linksys WVC54GCA 1.00R22/1.00R24 - Local File Inclusion,high,8.6,CWE-22,"cve,iot,linksys,camera,traversal,cve2009,lfi,cisco,firmware,edb"
CVE-2014-2962,Blocked,Belkin N150 Router 1.00.08/1.00.09 - Path Traversal,high,None,None,"cve,cve2014,lfi,router,firmware,traversal"
CVE-2017-16877,Not Blocked,Nextjs <2.4.1 - Local File Inclusion,high,7.5,CWE-22,"cve,cve2017,nextjs,lfi,traversal"
CVE-2021-43778,Blocked,GLPI plugin Barcode < 2.6.1 Path Traversal Vulnerability.,high,7.5,CWE-22,"glpi,cve,cve2021,lfi,plugin,traversal"
