cve,blocked,name,severity,cvss-score,cwe-id,tags
CVE-2020-10547,Blocked,rConfig 3.9.4 SQL Injection,critical,9.8,"CWE-89,CWE-522","cve,cve2020,rconfig,sqli"
CVE-2020-22210,Blocked,74cms - ajax_officebuilding.php SQL Injection,critical,9.8,CWE-89,"cve,cve2020,74cms,sqli"
CVE-2020-35848,Blocked,Agentejo Cockpit <0.12.0 - NoSQL Injection,critical,9.8,CWE-89,"cve,cve2020,nosqli,sqli,cockpit,injection"
CVE-2021-42258,Partial block (50.0%),BillQuick Web Suite SQL Injection,critical,9.8,CWE-89,"cve,cve2021,sqli,billquick,kev"
CVE-2022-0434,Blocked,Page Views Count < 2.4.15 - Unauthenticated SQL Injection,critical,9.8,CWE-89,"cve,cve2022,wordpress,wp-plugin,wp,sqli,wpscan,unauth"
CVE-2020-36112,Blocked,CSE Bookstore 1.0 - SQL Injection,critical,9.8,CWE-89,"cve,cve2020,sqli,cse,edb,tenable"
CVE-2022-32015,Blocked,Complete Online Job Search System 1.0 - SQL Injection,high,7.2,CWE-89,"cve,cve2022,sqli,jobsearch"
CVE-2020-10548,Blocked,rConfig 3.9.4 - SQL Injection,critical,9.8,"CWE-89,CWE-522","cve,cve2020,rconfig,sqli"
CVE-2022-32018,Blocked,Complete Online Job Search System 1.0 - SQL Injection,high,7.2,CWE-89,"cve,cve2022,sqli"
CVE-2020-10546,Blocked,rConfig 3.9.4 SQL Injection,critical,9.8,"CWE-89,CWE-522","cve,cve2020,rconfig,sqli"
CVE-2019-2579,Blocked,Oracle Fusion Middleware WebCenter Sites 12.2.1.3.0 - SQL Injection,medium,4.3,None,"cve,cve2019,oracle,wcs,sqli"
CVE-2021-41648,Blocked,PuneethReddyHC action.php SQL Injection,high,7.5,CWE-89,"cve,cve2021,sqli,injection"
CVE-2020-22208,Blocked,74cms - ajax_street.php 'x' SQL Injection,critical,9.8,CWE-89,"cve,cve2020,74cms,sqli"
CVE-2021-24340,Not Blocked,WordPress Statistics <13.0.8 - Blind SQL Injection,high,7.5,CWE-89,"cve,wp-plugin,unauth,wpscan,cve2021,wordpress,sqli,blind,edb"
CVE-2018-17254,Blocked,Joomla! JCK Editor SQL Injection,critical,9.8,CWE-89,"cve,cve2018,packetstorm,edb,joomla,sqli"
CVE-2022-0412,Blocked,WordPress TI WooCommerce Wishlist <1.40.1 - SQL Injection,critical,9.8,CWE-89,"sqli,ti-woocommerce-wishlist,wpscan,cve,cve2022,woocommerce,wordpress,wp-plugin,wp"
CVE-2020-9402,Blocked,Django SQL Injection,high,8.8,CWE-89,"cve,cve2020,django,sqli,vulhub"
CVE-2021-41649,Blocked,PuneethReddyHC Online Shopping System homeaction.php SQL Injection,critical,9.8,CWE-89,"cve,cve2021,sqli,injection"
CVE-2020-9483,Blocked,SkyWalking SQLI,high,7.5,CWE-89,"cve,cve2020,sqli,skywalking"
CVE-2020-5307,Blocked,PHPGurukul Dairy Farm Shop Management System 1.0 - SQL Injection,critical,9.8,CWE-89,"sqli,edb,cve,cve2020"
CVE-2021-44427,Blocked,Rosario Student Information System Unauthenticated SQL Injection,critical,9.8,CWE-89,"cve,cve2021,sqli,rosariosis"
CVE-2020-22211,Blocked,74cms - ajax_street.php 'key' SQL Injection,critical,9.8,CWE-89,"cve,cve2020,74cms,sqli"
CVE-2017-11444,Blocked,Subrion CMS <4.1.5.10 - SQL Injection,critical,9.8,CWE-89,"cve,cve2017,sqli,subrion"
CVE-2022-27927,Blocked,Microfinance Management System 1.0 - SQL Injection,critical,9.8,CWE-89,"microfinance,edb,cve,cve2022,sqli"
CVE-2022-24260,Blocked,VoipMonitor - Pre-Auth SQL Injection,critical,9.8,CWE-89,"cve,cve2022,voipmonitor,sqli,unauth"
CVE-2022-29009,Partial block (50.0%),Cyber Cafe Management System 1.0 - SQL Injection,critical,9.8,CWE-89,"cve2022,sqli,auth-bypass,edb,cve"
CVE-2019-13462,Blocked,Lansweeper Unauthenticated SQL Injection,critical,9.1,CWE-89,"cve,cve2019,sqli,lansweeper"
CVE-2021-41691,Blocked,openSIS Student Information System 8.0 SQL Injection,high,None,None,"sqli,auth,edb,cve,cve2021,opensis"
CVE-2022-29007,Partial block (50.0%),Dairy Farm Shop Management System 1.0 - SQL Injection,critical,9.8,CWE-89,"cve,cve2022,sqli,auth-bypass,edb"
CVE-2021-24762,Blocked,WordPress Perfect Survey<1.5.2 - SQL Injection,critical,9.8,CWE-89,"cve,wpscan,cve2021,sqli,wp,wordpress,wp-plugin,unauth,edb"
CVE-2021-36748,Blocked,PrestaHome Blog for PrestaShop <1.7.8 - SQL Injection,high,7.5,CWE-89,"cve,cve2021,prestashop,prestahome,sqli,cms"
CVE-2022-0781,Blocked,WordPress Nirweb Support <2.8.2 - SQL Injection,critical,9.8,CWE-89,"cve,cve2022,wordpress,wp-plugin,wp,sqli,wpscan,nirweb-support,unauth"
CVE-2021-31856,Blocked,Layer5 Meshery 0.5.2 - SQL Injection,critical,9.8,CWE-89,"sqli,cve,cve2021"
CVE-2022-2467,Blocked,Garage Management System 1.0 - SQL Injection,critical,9.8,CWE-89,"cve,cve2022,sourcecodester,garagemanagementsystem,sqli"
CVE-2020-10549,Blocked,rConfig <=3.9.4 - SQL Injection,critical,9.8,"CWE-89,CWE-522","cve,cve2020,rconfig,sqli"
CVE-2022-32024,Blocked,Car Rental Management System 1.0 - SQL Injection,high,7.2,CWE-89,"cve,cve2022,carrental,cms,sqli,authenticated"
CVE-2014-2323,Not Blocked,Lighttpd 1.4.34 SQL Injection and Path Traversal,critical,9.8,CWE-89,"lighttpd,injection,seclists,cve,cve2014,sqli"
CVE-2020-22209,Blocked,74cms - ajax_common.php SQL Injection,critical,9.8,CWE-89,"cve,cve2020,74cms,sqli"
CVE-2022-29383,Blocked,NETGEAR ProSafe SSL VPN firmware - SQL Injection,critical,9.8,None,"cve,cve2022,sqli,netgear,router"
CVE-2020-35846,Blocked,Agentejo Cockpit < 0.11.2 NoSQL Injection,critical,9.8,CWE-89,"cve,cve2020,nosqli,sqli,cockpit,injection"
CVE-2016-10134,Blocked,Zabbix - SQL Injection,critical,9.8,CWE-89,"cve,cve2016,zabbix,sqli,vulhub"
CVE-2020-35847,Blocked,Agentejo Cockpit <0.11.2 NoSQL Injection,critical,9.8,CWE-89,"cve,cve2020,nosqli,sqli,cockpit,injection"
CVE-2014-3704,Blocked,Drupal SQL Injection,high,None,None,"edb,cve,cve2014,drupal,sqli"
CVE-2021-24285,Blocked,WordPress Car Seller - Auto Classifieds Script - SQL Injection,critical,9.8,CWE-89,"cve2021,wordpress,wp-plugin,sqli,wpscan,cve"
CVE-2019-7481,Blocked,SonicWall SRA 4600 VPN - SQL Injection,high,7.5,CWE-89,"cve,cve2019,sonicwall,sqli,kev"
CVE-2019-10692,Blocked,WordPress Google Maps <7.11.18 - SQL Injection,critical,9.8,CWE-89,"cve,cve2019,wp,wp-plugin,unauth,sqli,wordpress,googlemaps,wpscan"
CVE-2021-37538,Blocked,PrestaShop SmartBlog <4.0.6- SQL Injection,critical,9.8,CWE-89,"cve,cve2021,prestashop,smartblog,sqli"
CVE-2022-30512,Blocked,School Dormitory Management System 1.0 - SQL Injection,critical,9.8,CWE-89,"cve,cve2022,sqli"
CVE-2021-32789,Blocked,WooCommerce Blocks 2.5 to 5.5 - Unauthenticated SQL Injection,high,7.5,CWE-89,"cve,cve2021,wordpress,woocommerce,sqli,wp-plugin,wp,wpscan"
CVE-2022-28079,Blocked,College Management System 1.0 - SQL Injection,high,8.8,CWE-89,"cve,cve2022,sqli,cms,collegemanagement"
CVE-2017-8917,Blocked,Joomla! <3.7.1 - SQL Injection,critical,9.8,CWE-89,"cve,cve2017,joomla,sqli"
CVE-2015-7297,Blocked,Joomla! Core SQL Injection,high,None,None,"cve,cve2015,joomla,sqli"
CVE-2022-32022,Partial block (50.0%),Car Rental Management System 1.0 - SQL Injection,high,7.2,CWE-89,"cve,cve2022,carrental,cms,sqli,login-bypass"
CVE-2014-8682,Blocked,Gogs (Go Git Service) - SQL Injection,critical,10,CWE-89,"gogs,seclists,packetstorm,edb,cve,cve2014,sqli"
CVE-2020-14092,Blocked,WordPress PayPal Pro <1.1.65 - SQL Injection,critical,9.8,CWE-89,"wp-plugin,sqli,paypal,wpscan,cve,cve2020,wordpress"
CVE-2019-10232,Blocked,Teclib GLPI <= 9.3.3 Unauthenticated SQL Injection,critical,9.8,CWE-89,"cve,cve2019,glpi,sqli,injection"
CVE-2022-24124,Blocked,Casdoor 1.13.0 - Unauthenticated SQL Injection,high,7.5,CWE-89,"sqli,unauth,packetstorm,edb,cve,cve2022,casdoor"
CVE-2020-12720,Blocked,vBulletin SQL Injection,critical,9.8,"CWE-89,CWE-306","cve2020,vbulletin,sqli,packetstorm,cve"
CVE-2020-6637,Blocked,OpenSIS 7.3 - SQL Injection,critical,9.8,CWE-89,"cve,cve2020,sqli,opensis"
CVE-2021-37589,Partial block (66.66666666666666%),Virtua Software Cobranca <12R - Blind SQL Injection,high,7.5,CWE-89,"cve,cve2021,virtua,sqli"
CVE-2022-29006,Partial block (50.0%),Directory Management System 1.0 - SQL Injection,critical,9.8,CWE-89,"cve,cve2022,sqli,auth-bypass,edb"
CVE-2022-33965,Blocked,WP Visitor Statistics (Real Time Traffic) < 5.8 - Unauthenticated SQLi,critical,9.8,CWE-89,"cve,cve2022,wordpress,wp-plugin,wp,unauth,sqli,wp-stats-manager"
CVE-2022-1768,Blocked,WordPress RSVPMaker <=9.3.2 - SQL Injection,high,7.5,CWE-89,"cve,cve2022,wordpress,wp-plugin,wp,sqli,rsvpmaker"
