cve,blocked,name,severity,cvss-score,cwe-id,tags
CVE-2020-29597,Not Blocked,IncomCMS 2.0 - Arbitrary File Upload,critical,9.8,CWE-434,"cve,cve2020,incomcms,fileupload,intrusive"
CVE-2018-15961,Not Blocked,Adobe ColdFusion - Unrestricted File Upload Remote Code Execution,critical,9.8,CWE-434,"cve,cve2018,adobe,rce,coldfusion,fileupload,kev"
CVE-2017-15715,Blocked,Apache httpd <=2.4.29 - Arbitrary File Upload,high,8.1,CWE-20,"apache,httpd,fileupload,vulhub,cve,cve2017"
CVE-2022-29464,Not Blocked,WSO2 Management - Arbitrary File Upload & Remote Code Execution,critical,9.8,CWE-434,"cve,cve2022,rce,fileupload,wso2,intrusive,kev"
CVE-2016-3088,Partial block (50.0%),Apache ActiveMQ Fileserver - Arbitrary File Write,critical,9.8,CWE-20,"fileupload,kev,edb,cve,cve2016,apache,activemq"
CVE-2020-12800,Partial block (50.0%),WordPress Contact Form 7 <1.3.3.3 - Remote Code Execution,critical,9.8,CWE-434,"wordpress,wp-plugin,fileupload,wp,rce,packetstorm,cve,cve2020"
CVE-2021-1499,Not Blocked,Cisco HyperFlex HX Data Platform - File Upload Vulnerability,medium,5.3,CWE-306,"fileupload,intrusive,packetstorm,cve,cve2021,cisco"
CVE-2017-6090,Partial block (50.0%),PhpColl 2.5.1 Arbitrary File Upload,high,8.8,CWE-434,"cve2017,phpcollab,rce,fileupload,edb,cve"
CVE-2021-24284,Partial block (50.0%),WordPress Kaswara Modern VC Addons - File Upload RCE,critical,9.8,CWE-434,"intrusive,unauth,fileupload,wpscan,cve,wordpress,wp-plugin,rce,cve2021,wp"
CVE-2021-45428,Partial block (33.33333333333333%),Telesquare TLR-2005KSH 1.0.0 - Arbitrary File Upload,critical,9.8,CWE-639,"cve,cve2021,telesquare,intrusive,fileupload,packetstorm"
CVE-2019-1821,Not Blocked,Cisco Prime Infrastructure and Cisco Evolved Programmable Network Manager - Remote Code Execution,critical,9.8,CWE-20,"cve,cve2019,rce,fileupload,unauth,intrusive,cisco"
