cve,blocked,name,severity,cvss-score,cwe-id,tags
CVE-2020-11547,Not Blocked,PRTG Network Monitor < 20.1.57.1745 - Information Disclosure,medium,5.3,CWE-200,"cve,cve2020,prtg,disclosure,network"
CVE-2021-20150,Blocked,Trendnet AC2600 TEW-827DRU - Credentials Disclosure,medium,5.3,CWE-287,"disclosure,router,tenable,cve,cve2021,trendnet"
CVE-2023-27587,Not Blocked,ReadToMyShoe - Google Cloud API Disclosure,medium,6.5,CWE-209,"cve,cve2023,debug,readtomyshoe,disclosure"
CVE-2020-13405,Blocked,MicroWeber - Unauthenticated User Database Disclosure,high,7.5,CWE-306,"cve,cve2020,microweber,unauth,disclosure"
CVE-2019-15859,Not Blocked,Socomec DIRIS A-40 Devices Password Disclosure,critical,9.8,CWE-200,"seclists,packetstorm,cve,cve2019,disclosure,socomec,diris,iot"
CVE-2020-4463,Not Blocked,IBM Maximo Asset Management Information Disclosure - XML External Entity Injection,high,8.2,CWE-611,"cve,cve2020,ibm,xxe,disclosure"
CVE-2020-9376,Blocked,D-Link DIR-610 Devices - Information Disclosure,high,7.5,CWE-74,"cve,cve2020,dlink,disclosure,router"
CVE-2021-31581,Not Blocked,Akkadian Provisioning Manager - Information Disclosure,medium,4.4,CWE-312,"cve,cve2021,akkadian,mariadb,disclosure"
CVE-2022-27849,Not Blocked,WordPress Simple Ajax Chat <20220116 - Sensitive Information Disclosure vulnerability,high,7.5,CWE-200,"wp,wordpress,wp-plugin,cve,cve2022,disclosure"
CVE-2021-20158,Blocked,Trendnet AC2600 TEW-827DRU 2.08B01 - Admin Password Change,critical,9.8,CWE-287,"disclosure,router,intrusive,tenable,cve,cve2021,trendnet"
CVE-2019-17506,Blocked,D-Link DIR-868L/817LW - Information Disclosure,critical,9.8,CWE-306,"cve,cve2019,dlink,router,disclosure"
CVE-2014-4942,Not Blocked,WordPress EasyCart <2.0.6 - Information Disclosure,low,None,CWE-200,"wpscan,cve,cve2014,wordpress,wp-plugin,wp,phpinfo,disclosure"
CVE-2020-14179,Not Blocked,Atlassian Jira Server/Data Center <8.5.8/8.6.0 - 8.11.1 - Information Disclosure,medium,5.3,None,"cve,cve2020,atlassian,jira,exposure,disclosure"
CVE-2018-16671,Not Blocked,CirCarLife <4.3 - Improper Authentication,medium,5.3,CWE-200,"iot,disclosure,edb,cve,cve2018,circarlife,scada"
CVE-2022-2379,Not Blocked,Easy Student Results <= 2.2.8 - Information Disclosure,high,7.5,CWE-862,"wordpress,wp-plugin,wp,easy-student-results,disclosure,wpscan,cve,cve2022"
CVE-2015-0554,Not Blocked,ADB/Pirelli ADSL2/2+ Wireless Router P.DGA4001N - Information Disclosure,high,None,None,"pirelli,router,disclosure,edb,packetstorm,cve,cve2015"
CVE-2018-16668,Not Blocked,CirCarLife <4.3 - Improper Authentication,medium,5.3,CWE-287,"cve,cve2018,circarlife,scada,iot,disclosure,edb"
CVE-2019-11248,Not Blocked,Debug Endpoint pprof - Exposure Detection,high,8.2,CWE-862,"cve,cve2019,debug,kubernetes,kubelet,devops,unauth,disclosure"
CVE-2021-28937,Not Blocked,Acexy Wireless-N WiFi Repeater REV 1.0 - Repeater Password Disclosure,high,7.5,CWE-312,"cve,cve2021,acexy,disclosure,iot"
CVE-2020-2733,Not Blocked,JD Edwards EnterpriseOne Tools 9.2 - Information Disclosure,critical,9.8,None,"cve,cve2020,oracle,weblogic,disclosure,exposure"
CVE-2018-12296,Not Blocked,Seagate NAS OS 4.3.15.1 - Server Information Disclosure,high,7.5,CWE-732,"cve,cve2018,seagate,nasos,disclosure,unauth"
CVE-2022-0281,Not Blocked,Microweber Information Disclosure,high,7.5,CWE-200,"cve,cve2022,microweber,disclosure,huntr"
CVE-2021-20114,Not Blocked,TCExam <= 14.8.1 - Sensitive Information Exposure,high,7.5,CWE-200,"tcexam,disclosure,exposure,tenable,cve,cve2021"
CVE-2018-16670,Not Blocked,CirCarLife <4.3 - Improper Authentication,medium,5.3,CWE-287,"scada,plc,iot,disclosure,edb,cve,cve2018,circarlife"
CVE-2019-8449,Not Blocked,JIRA Unauthenticated Sensitive Information Disclosure,medium,5.3,CWE-306,"atlassian,jira,disclosure,packetstorm,cve,cve2019"
CVE-2022-2376,Not Blocked,Directorist < 7.3.1 - Unauthenticated Email Address Disclosure,medium,5.3,CWE-862,"cve,cve2022,wp-plugin,wpscan,wordpress,wp,directorist,unauth,disclosure"
CVE-2022-1442,Not Blocked,WordPress Plugin Metform <= 2.1.3 - Unauthenticated Sensitive Information Disclosure,high,7.5,CWE-862,"wpscan,cve2022,wordpress,wp-plugin,disclosure,unauth,metform,cve,wp"
CVE-2022-23178,Not Blocked,Crestron Device - Credentials Disclosure,critical,9.8,CWE-287,"cve,cve2022,crestron,disclosure"
CVE-2019-5418,Blocked,Rails File Content Disclosure,high,7.5,None,"cve,cve2019,rails,lfi,disclosure,edb"
CVE-2021-41293,Blocked,ECOA Building Automation System - Arbitrary File Retrieval,high,7.5,CWE-22,"cve,cve2021,ecoa,lfi,disclosure"
