cve,blocked,name,severity,cvss-score,cwe-id,tags
CVE-2020-25223,Blocked,Sophos UTM Preauth - Remote Code Execution,critical,9.8,None,"cve,cve2020,sophos,rce,oast,unauth,kev"
CVE-2015-7450,Blocked,IBM WebSphere Java Object Deserialization - Remote Code Execution,critical,9.8,CWE-94,"cve,cve2015,websphere,deserialization,rce,oast,ibm,java,kev"
CVE-2017-18598,Blocked,WordPress Qards - Cross-Site Scripting,medium,6.1,CWE-79,"wp-plugin,oast,wpscan,cve,cve2017,wordpress,ssrf,xss"
CVE-2016-1555,Blocked,NETGEAR WNAP320 Access Point Firmware - Remote Command Injection,critical,9.8,CWE-77,"netgear,rce,oast,router,kev,seclists,cve,cve2016"
CVE-2021-33544,Blocked,Geutebruck - Remote Command Injection,high,7.2,CWE-77,"cve,cve2021,geutebruck,rce,oast"
CVE-2017-0929,Blocked,DotNetNuke (DNN) ImageHandler <9.2.0 - Server-Side Request Forgery,high,7.5,CWE-918,"dnn,dotnetnuke,hackerone,cve,cve2017,oast,ssrf"
CVE-2019-0193,Not Blocked,Apache Solr DataImportHandler <8.2.0 - Remote Code Execution,high,7.2,CWE-94,"cve2019,apache,rce,solr,oast,kev,vulhub,cve"
CVE-2020-6308,Not Blocked,SAP - Unauthenticated Blind SSRF,medium,5.3,CWE-918,"cve,cve2020,sap,ssrf,oast,unauth"
CVE-2022-29078,Blocked,Node.js Embedded JavaScript 3.1.6 - Template Injection,critical,9.8,CWE-1336,"cve,cve2022,ssti,rce,ejs,nodejs,oast"
CVE-2017-11610,Blocked,XML-RPC Server - Remote Code Execution,high,8.8,CWE-276,"oast,xmlrpc,msf,cve,cve2017,rce,supervisor"
CVE-2017-12629,Not Blocked,Apache Solr <= 7.1 - XML Entity Injection,critical,9.8,CWE-611,"oast,xxe,vulhub,cve,cve2017,solr,apache"
CVE-2017-10271,Partial block (50.0%),Oracle WebLogic Server - Remote Command Execution,high,7.5,None,"weblogic,oast,kev,vulhub,cve,cve2017,rce,oracle"
CVE-2022-47966,Blocked,ManageEngine - Remote Command Execution,critical,9.8,None,"cve,cve2022,rce,zoho,manageengine,oast,kev"
CVE-2021-21881,Blocked,Lantronix PremierWave 2050 8.9.0.0R4 - Remote Command Injection,critical,9.9,CWE-78,"cve,cve2021,lantronix,rce,oast,cisco"
CVE-2020-28976,Not Blocked,WordPress Canto 1.3.0 - Blind Server-Side Request Forgery,medium,5.3,CWE-918,"cve,cve2020,ssrf,wordpress,wp-plugin,oast,edb"
