cve,blocked,name,severity,cvss-score,cwe-id,tags
CVE-2022-24816,Blocked,Geoserver Server - Code Injection,critical,9.8,CWE-94,"cve,cve2022,geoserver,rce"
CVE-2022-28079,Blocked,College Management System 1.0 - SQL Injection,high,8.8,CWE-89,"cve,cve2022,sqli,cms,collegemanagement"
CVE-2010-1954,Blocked,Joomla! Component iNetLanka Multiple root 1.0 - Local File Inclusion,high,None,None,"edb,cve,cve2010,joomla,lfi"
CVE-2020-11110,Blocked,Grafana <=6.7.1 - Cross-Site Scripting,medium,6.1,CWE-79,"cve,cve2020,xss,grafana,hackerone"
CVE-2021-38647,Blocked,Microsoft Open Management Infrastructure - Remote Code Execution,critical,9.8,None,"cve,cve2021,rce,omi,microsoft,kev"
CVE-2022-0678,Blocked,Packagist <1.2.11 - Cross-Site Scripting,medium,6.1,CWE-79,"huntr,cve,cve2022,xss,microweber"
CVE-2018-14912,Blocked,cgit < 1.2.1 - Directory Traversal,high,7.5,CWE-22,"cve,cve2018,cgit,lfi"
CVE-2017-8917,Blocked,Joomla! <3.7.1 - SQL Injection,critical,9.8,CWE-89,"cve,cve2017,joomla,sqli"
CVE-2020-17506,Blocked,Artica Web Proxy 4.30 - Authentication Bypass/SQL Injection,critical,9.8,CWE-89,"cve,cve2020,artica,proxy,packetstorm"
CVE-2022-22954,Blocked,VMware Workspace ONE Access - Server-Side Template Injection,critical,9.8,CWE-94,"workspaceone,kev,tenable,packetstorm,cve,cve2022,vmware,ssti"
CVE-2016-1000138,Blocked,WordPress Admin Font Editor <=1.8 - Cross-Site Scripting,medium,6.1,CWE-79,"cve,cve2016,wordpress,xss,wp-plugin"
CVE-2018-20470,Blocked,Tyto Sahi pro 7.x/8.x - Local File Inclusion,high,7.5,CWE-22,"cve,cve2018,lfi,packetstorm"
CVE-2020-35580,Blocked,SearchBlox <9.2.2 - Local File Inclusion,high,7.5,CWE-522,"cve,cve2020,lfi"
CVE-2022-34590,Blocked,Hospital Management System 1.0 - SQL Injection,high,7.2,CWE-89,"cve,cve2022,hms,cms,sqli"
CVE-2022-2373,Not Blocked,Simply Schedule Appointments < 1.5.7.7 - Email Address Disclosure,medium,5.3,CWE-862,"simply-schedule-appointments,unauth,wpscan,cve,cve2022,wordpress,wp-plugin,wp"
CVE-2021-24827,Blocked,WordPress Asgaros Forum <1.15.13 - SQL Injection,critical,9.8,CWE-89,"cve2022,wp-plugin,asgaros-forum,unauth,wpscan,cve,wordpress,wp,sqli"
CVE-2021-42237,Blocked,Sitecore Experience Platform Pre-Auth RCE,critical,9.8,CWE-502,"cve,cve2021,rce,sitecore,deserialization,oast,kev"
CVE-2008-1061,Blocked,WordPress Sniplets <=1.2.2 - Cross-Site Scripting,high,7.2,CWE-79,"xss,wp-plugin,wp,edb,wpscan,cve,cve2008,wordpress,sniplets"
CVE-2019-17538,Blocked,Jiangnan Online Judge 0.8.0 - Local File Inclusion,high,7.5,CWE-22,"cve,cve2019,jnoj,lfi"
CVE-2021-26475,Blocked,EPrints 3.4.2 - Cross-Site Scripting,medium,6.1,CWE-79,"cve,cve2021,xss,eprints"
CVE-2019-7219,Blocked,Zarafa WebApp <=2.0.1.47791 - Cross-Site Scripting,medium,6.1,CWE-79,"cve,cve2019,zarafa,xss"
CVE-2022-33891,Blocked,Apache Spark UI - Command Injection,high,8.8,CWE-77,"packetstorm,cve,cve2022,apache,spark,authenticated"
CVE-2018-16288,Blocked,LG SuperSign EZ CMS 2.5 - Local File Inclusion,high,8.6,CWE-200,"cve,cve2018,lfi,supersign,edb"
CVE-2022-38870,Not Blocked,Free5gc - Information disclosure,high,7.5,CWE-306,"cve,cve2022,free5gc,exposure"
CVE-2021-38702,Blocked,Cyberoam NetGenie Cross-Site Scripting,medium,6.1,CWE-79,"cve2021,cyberoam,netgenie,xss,router,seclists,cve"
CVE-2019-9670,Not Blocked,Synacor Zimbra Collaboration <8.7.11p10 - XML External Entity Injection,critical,9.8,CWE-611,"cve,cve2019,zimbra,xxe,kev,edb,packetstorm"
CVE-2022-23881,Blocked,ZZZCMS zzzphp 2.1.0 - Remote Code Execution,critical,9.8,CWE-77,"cve,cve2022,rce,zzzphp,zzzcms"
CVE-2014-4561,Blocked,Ultimate Weather Plugin <= 1.0 - Cross-Site Scripting,medium,6.1,CWE-79,"cve,cve2014,wordpress,wp-plugin,xss,weather,wpscan,unauth"
CVE-2021-27358,Not Blocked,Grafana Unauthenticated Snapshot Creation,high,7.5,CWE-306,"cve,cve2021,grafana,unauth"
CVE-2015-5688,Blocked,Geddy <13.0.8 - Local File Inclusion,high,None,None,"cve,cve2015,geddy,lfi"
CVE-2010-1658,Blocked,Joomla! Component NoticeBoard 1.3 - Local File Inclusion,high,None,None,"cve,cve2010,joomla,lfi,edb"
CVE-2020-6308,Not Blocked,SAP - Unauthenticated Blind SSRF,medium,5.3,CWE-918,"cve,cve2020,sap,ssrf,oast,unauth"
CVE-2021-46381,Blocked,D-Link DAP-1620 - Local File Inclusion,high,7.5,CWE-22,"cve,cve2021,dlink,lfi,router"
CVE-2021-25864,Blocked,Hue Magic 3.0.0 - Local File Inclusion,high,7.5,CWE-22,"cve,cve2021,huemagic,lfi"
CVE-2021-42627,Not Blocked,D-Link DIR-615 - Unauthorized Access,critical,9.8,None,"cve,cve2021,d-link,router,unauth,dir-615,roteador"
CVE-2022-23808,Blocked,phpMyAdmin < 5.1.2 - Cross-Site Scripting,medium,6.1,CWE-79,"cve,cve2022,phpmyadmin,xss"
CVE-2017-1000163,Blocked,The Phoenix Framework versions 1.0.0 - Open redirect,medium,6.1,CWE-601,"cve,cve2017,redirect,phoenix"
CVE-2022-29464,Not Blocked,WSO2 Management - Arbitrary File Upload & Remote Code Execution,critical,9.8,CWE-434,"cve,cve2022,rce,fileupload,wso2,intrusive,kev"
CVE-2019-19908,Blocked,phpMyChat-Plus 1.98 - Cross-Site Scripting,medium,6.1,CWE-79,"cve,cve2019,phpMyChat,xss"
CVE-2022-24129,Blocked,Shibboleth OIDC OP <3.0.4 - Server-Side Request Forgery,high,8.2,CWE-918,"cve,cve2022,ssrf,oidc,shibboleth"
CVE-2014-9614,Blocked,Netsweeper 4.0.5 - Default Weak Account,critical,9.8,CWE-798,"cve,cve2014,netsweeper,default-login,packetstorm"
CVE-2019-6340,Blocked,Drupal - Remote Code Execution,high,8.1,CWE-502,"cve,cve2019,drupal,rce,kev,cisa"
CVE-2021-25028,Blocked,WordPress Event Tickets < 5.2.2 - Open Redirect,medium,6.1,CWE-601,"wordpress,redirect,wp-plugin,eventtickets,wpscan,cve,cve2021"
CVE-2020-3452,Blocked,Cisco Adaptive Security Appliance (ASA)/Firepower Threat Defense (FTD) - Local File Inclusion,high,7.5,CWE-20,"lfi,kev,packetstorm,cve,cve2020,cisco"
CVE-2017-1000170,Blocked,WordPress Delightful Downloads Jquery File Tree 2.1.5 - Local File Inclusion,high,7.5,CWE-22,"cve,cve2017,wordpress,wp-plugin,lfi,jquery,edb,packetstorm"
CVE-2021-43810,Blocked,Admidio - Cross-Site Scripting,medium,6.1,CWE-79,"cve,cve2021,admidio,xss"
CVE-2014-2908,Blocked,Siemens SIMATIC S7-1200 CPU - Cross-Site Scripting,medium,None,None,"cve,cve2014,xss,siemens,edb"
CVE-2020-8654,Not Blocked,EyesOfNetwork 5.1-5.3 - SQL Injection/Remote Code Execution,high,8.8,CWE-78,"cisa,eyesofnetwork,rce,authenticated,msf,cve,cve2020"
CVE-2019-11370,Partial block (50.0%),Carel pCOWeb <B1.2.4 - Cross-Site Scripting,medium,5.4,CWE-79,"pcoweb,xss,carel,edb,cve,cve2019"
CVE-2019-12962,Blocked,LiveZilla Server 8.0.1.0 - Cross-Site Scripting,medium,6.1,CWE-79,"xss,edb,packetstorm,cve,cve2019,livezilla"
CVE-2010-1532,Blocked,Joomla! Component PowerMail Pro 1.5.3 - Local File Inclusion,high,None,None,"cve,cve2010,joomla,lfi,edb,packetstorm"
CVE-2021-21802,Blocked,Advantech R-SeeNet - Cross-Site Scripting,medium,6.1,CWE-79,"cve,cve2021,rseenet,xss"
CVE-2021-42551,Blocked,NetBiblio WebOPAC - Cross-Site Scripting,medium,6.1,CWE-79,"cve,cve2021,xss,netbiblio"
CVE-2013-7091,Blocked,Zimbra Collaboration Server 7.2.2/8.0.2 Local File Inclusion,critical,None,None,"zimbra,lfi,edb,cve,cve2013"
CVE-2016-3081,Blocked,Apache S2-032 Struts - Remote Code Execution,high,8.1,CWE-77,"cve,cve2016,struts,rce,apache"
CVE-2010-4977,Blocked,Joomla! Component Canteen 1.0 - Local File Inclusion,high,None,None,"joomla,lfi,edb,packetstorm,cve,cve2010"
CVE-2022-0422,Blocked,WordPress White Label CMS <2.2.9 - Cross-Site Scripting,medium,6.1,CWE-79,"cve,cve2022,wordpress,xss,wp-plugin,wpscan"
CVE-2019-18665,Blocked,DOMOS 5.5 - Local File Inclusion,high,7.5,CWE-22,"cve,cve2019,domos,lfi"
CVE-2010-1603,Blocked,Joomla! Component ZiMBCore 0.1 - Local File Inclusion,high,None,None,"cve2010,joomla,lfi,edb,cve"
CVE-2020-2733,Not Blocked,JD Edwards EnterpriseOne Tools - Admin Password Disclosure,critical,9.8,None,"cve,cve2020,oracle,weblogic,disclosure,exposure"
CVE-2019-12314,Not Blocked,Deltek Maconomy 2.2.5 - Local File Inclusion,critical,9.8,CWE-22,"cve,cve2019,lfi,packetstorm"
CVE-2010-1979,Blocked,Joomla! Component Affiliate Datafeeds 880 - Local File Inclusion,high,None,None,"edb,cve,cve2010,joomla,lfi"
CVE-2019-17270,Blocked,Yachtcontrol Webapplication 1.0 - Remote Command Injection,critical,9.8,CWE-78,"rce,yachtcontrol,cve,cve2019,edb,packetstorm"
CVE-2022-29303,Blocked,SolarView Compact 6.00 - OS Command Injection,critical,9.8,CWE-77,"cve,cve2022,rce,injection,solarview,edb"
CVE-2015-3337,Not Blocked,Elasticsearch - Local File Inclusion,high,None,None,"edb,cve,cve2015,elastic,lfi,elasticsearch,plugin"
CVE-2012-4253,Blocked,MySQLDumper 1.24.4 - Directory Traversal,high,None,None,"packetstorm,cve,cve2012,lfi,edb"
CVE-2021-24370,Not Blocked,WordPress Fancy Product Designer <4.6.9  - Arbitrary File Upload,critical,9.8,"CWE-434,CWE-434","wordpress,wp,seclists,cve,wpscan,cve2021,rce,wp-plugin,fancyproduct"
CVE-2018-7700,Blocked,DedeCMS 5.7SP2 - Cross-Site Request Forgery/Remote Code Execution,high,8.8,CWE-352,"cve,cve2018,dedecms,rce"
CVE-2022-0656,Blocked,uDraw <3.3.3 - Local File Inclusion,high,7.5,CWE-552,"wp,wordpress,wp-plugin,unauth,cve,cve2022,lfi,udraw,wpscan"
CVE-2010-1607,Blocked,Joomla! Component WMI 1.5.0 - Local File Inclusion,high,None,None,"cve,cve2010,joomla,lfi,edb"
CVE-2022-1221,Blocked,WordPress Gwyn's Imagemap Selector <=0.3.3 - Cross-Site Scripting,medium,6.1,CWE-79,"cve2022,wpscan,xss,wordpress,wp-plugin,wp,cve"
CVE-2010-4719,Blocked,Joomla! Component JRadio - Local File Inclusion,high,None,None,"cve2010,joomla,lfi,edb,packetstorm,cve"
CVE-2021-21973,Not Blocked,VMware vCenter Unauthenticated SSRF,medium,5.3,CWE-918,"cve,cve2021,vmware,ssrf,vcenter,oast,kev"
CVE-2020-8163,Blocked,Ruby on Rails <5.0.1 - Remote Code Execution,high,8.8,CWE-94,"cve,cve2020,rails,rce,hackerone"
CVE-2021-21881,Blocked,Lantronix PremierWave 2050 8.9.0.0R4 - Remote Command Injection,critical,9.9,CWE-78,"cve,cve2021,lantronix,rce,oast,cisco"
CVE-2020-10547,Blocked,rConfig 3.9.4 - SQL Injection,critical,9.8,"CWE-89,CWE-522","cve,cve2020,rconfig,sqli"
CVE-2019-18922,Not Blocked,Allied Telesis AT-GS950/8 - Local File Inclusion,high,7.5,CWE-22,"allied,lfi,packetstorm,cve,cve2019"
CVE-2021-24987,Blocked,WordPress Super Socializer <7.13.30 - Cross-Site Scripting,medium,6.1,CWE-79,"cve,cve2021,wpscan,xss,wp,wp-plugin,wordpress"
CVE-2021-20038,Blocked,SonicWall SMA100 Stack - Buffer Overflow/Remote Code Execution,critical,9.8,CWE-787,"cve,cve2021,overflow,rce,sonicwall,kev"
CVE-2019-2767,Blocked,Oracle Business Intelligence Publisher - XML External Entity Injection,high,7.2,None,"edb,cve,cve2019,oracle,xxe,oast"
CVE-2021-21805,Blocked,Advantech R-SeeNet 2.4.12 - OS Command Injection,critical,9.8,CWE-78,"cve,cve2021,rce,r-seenet"
CVE-2020-22210,Blocked,74cms - ajax_officebuilding.php SQL Injection,critical,9.8,CWE-89,"cve,cve2020,74cms,sqli"
CVE-2017-9841,Blocked,PHPUnit - Remote Code Execution,critical,9.8,CWE-94,"cve,cve2017,php,phpunit,rce,kev"
CVE-2009-4223,Blocked,KR-Web <=1.1b2 - Remote File Inclusion,high,None,None,"cve,cve2009,krweb,rfi,edb"
CVE-2020-26876,Not Blocked,WordPress WP Courses Plugin Information Disclosure,high,7.5,CWE-306,"cve,cve2020,wordpress,wp-plugin,exposure,edb"
CVE-2018-3760,Not Blocked,Ruby On Rails - Local File Inclusion,high,7.5,CWE-200,"cve,cve2018,rails,lfi,ruby,vulhub,seclists"
CVE-2021-41174,Not Blocked,Grafana 8.0.0 <= v.8.2.2 - Angularjs Rendering Cross-Site Scripting,medium,6.1,CWE-79,"cve,cve2021,grafana,xss"
CVE-2018-19365,Blocked,Wowza Streaming Engine Manager 4.7.4.01 - Directory Traversal,critical,9.1,CWE-22,"cve,cve2018,wowza,lfi"
CVE-2020-35846,Blocked,Agentejo Cockpit < 0.11.2 - NoSQL Injection,critical,9.8,CWE-89,"cve,cve2020,nosqli,sqli,cockpit,injection"
