cve,blocked,name,severity,cvss-score,cwe-id,tags
CVE-2021-26084,Blocked,Confluence Server - Remote Code Execution,critical,9.8,CWE-74,"cve,cve2021,rce,confluence,injection,ognl,kev"
CVE-2021-45092,Blocked,Thinfinity Iframe Injection,critical,9.8,CWE-74,"iframe,thinfinity,tenable,cve,cve2021,injection"
CVE-2019-10092,Blocked,Apache HTTP Server <=2.4.39 -  HTML Injection/Partial Cross-Site Scripting,medium,6.1,CWE-79,"cve,cve2019,apache,htmli,injection"
CVE-2018-10818,Blocked,LG NAS Devices - Remote Code Execution,critical,None,None,"cve,cve2018,lg-nas,rce,oast,injection"
CVE-2022-22965,Blocked,Spring - Remote Code Execution,critical,9.8,CWE-94,"cve,cve2022,rce,spring,injection,oast,intrusive,kev"
CVE-2014-2323,Not Blocked,Lighttpd 1.4.34 SQL Injection and Path Traversal,critical,9.8,CWE-89,"lighttpd,injection,seclists,cve,cve2014,sqli"
CVE-2021-46422,Blocked,SDT-CW3B1 1.1.0 - OS Command Injection,critical,9.8,CWE-78,"cve,cve2021,telesquare,rce,router,injection,edb"
CVE-2021-44529,Not Blocked,Ivanti EPM Cloud Services Appliance Code Injection,critical,9.8,CWE-94,"cve,cve2021,ivanti,epm,csa,injection"
CVE-2021-27132,Blocked,Sercomm VD625 Smart Modems - CRLF Injection,critical,9.8,CWE-74,"cve,cve2021,crlf,injection"
CVE-2017-14535,Blocked,Trixbox - 2.8.0.4 OS Command Injection,high,8.8,CWE-78,"cve,cve2017,trixbox,rce,injection,edb"
CVE-2012-0394,Blocked,Apache Struts <2.3.1.1 - Remote Code Execution,critical,10,CWE-77,"ognl,injection,edb,cve,cve2012,apache,struts"
CVE-2021-41649,Blocked,PuneethReddyHC Online Shopping System homeaction.php SQL Injection,critical,9.8,CWE-89,"cve,cve2021,sqli,injection"
CVE-2021-33564,Not Blocked,Ruby Dragonfly <1.4.0 - Remote Code Execution,critical,9.8,CWE-88,"cve,cve2021,rce,ruby,injection"
CVE-2020-35846,Blocked,Agentejo Cockpit < 0.11.2 - NoSQL Injection,critical,9.8,CWE-89,"cve,cve2020,nosqli,sqli,cockpit,injection"
CVE-2022-25356,Blocked,Alt-N MDaemon Security Gateway - XML Injection,medium,5.3,CWE-91,"cve,cve2022,altn,gateway,xml,injection"
CVE-2021-44228,Blocked,Apache Log4j2 Remote Code Injection,critical,10,CWE-502,"cve,cve2021,rce,oast,log4j,injection,kev"
CVE-2022-21705,Not Blocked,October CMS -  Remote Code Execution,high,7.2,CWE-74,"cve,cve2022,authenticated,rce,cms,octobercms,injection"
CVE-2019-3929,Blocked,Barco/AWIND OEM Presentation Platform - Remote Command Injection,critical,9.8,CWE-78,"tenable,cve,cve2019,oast,injection,kev,edb,rce,packetstorm"
CVE-2022-29303,Blocked,SolarView Compact 6.00 - OS Command Injection,critical,9.8,CWE-77,"cve,cve2022,rce,injection,solarview,edb"
CVE-2017-1000486,Blocked,Primetek Primefaces 5.x - Remote Code Execution,critical,9.8,CWE-326,"cve,cve2017,primetek,rce,injection,kev"
CVE-2021-41648,Blocked,PuneethReddyHC action.php SQL Injection,high,7.5,CWE-89,"cve,cve2021,sqli,injection"
CVE-2023-24044,Not Blocked,Plesk Obsidian - Host Header Injection,medium,6.1,CWE-601,"cve,cve2023,header,injection,plesk,obsidian"
CVE-2021-29156,Not Blocked,LDAP Injection In OpenAM,high,7.5,CWE-74,"cve,cve2021,openam,ldap,injection"
CVE-2018-1207,Not Blocked,Dell iDRAC7/8 Devices - Remote Code Injection,critical,9.8,CWE-94,"cve,cve2018,dell,injection,rce"
CVE-2021-45046,Blocked,Apache Log4j2 - Remote Code Injection,critical,9,CWE-502,"cve,cve2021,rce,oast,log4j,injection"
CVE-2020-35847,Blocked,Agentejo Cockpit <0.11.2 - NoSQL Injection,critical,9.8,CWE-89,"cve,cve2020,nosqli,sqli,cockpit,injection"
CVE-2020-9054,Blocked,Zyxel NAS Firmware 5.21- Remote Code Execution,critical,9.8,CWE-78,"cve,cve2020,rce,zyxel,injection,kev"
CVE-2019-10232,Blocked,Teclib GLPI <= 9.3.3 - Unauthenticated SQL Injection,critical,9.8,CWE-89,"cve,cve2019,glpi,sqli,injection"
CVE-2021-1472,Blocked,Cisco Small Business RV Series - OS Command Injection,critical,9.8,CWE-287,"auth-bypass,injection,packetstorm,cve,cve2021,cisco,rce,intrusive"
CVE-2020-35848,Blocked,Agentejo Cockpit <0.12.0 - NoSQL Injection,critical,9.8,CWE-89,"cve,cve2020,nosqli,sqli,cockpit,injection"
CVE-2021-28151,Blocked,Hongdian H8922 3.0.5 - Remote Command Injection,high,8.8,CWE-78,"cve,cve2021,hongdian,rce,injection"
CVE-2021-42071,Blocked,Visual Tools DVR VX16 4.2.28.0 - Unauthenticated OS Command Injection,critical,9.8,CWE-78,"edb,cve,cve2021,visualtools,rce,oast,injection"
