cve,blocked,name,severity,cvss-score,cwe-id,tags
CVE-2019-14312,Blocked,Aptana Jaxer 1.0.3.4547 - Local File inclusion,medium,6.5,CWE-22,"cve,cve2019,lfi,edb,packetstorm"
CVE-2019-8442,Not Blocked,Jira - Local File Inclusion,high,7.5,None,"cve,cve2019,atlassian,jira,lfi"
CVE-2010-1535,Blocked,Joomla! Component TRAVELbook 1.0.1 - Local File Inclusion,high,None,None,"cve,cve2010,joomla,lfi,edb"
CVE-2015-1000010,Blocked,WordPress Simple Image Manipulator < 1.0 - Local File Inclusion,high,7.5,CWE-22,"packetstorm,wpscan,cve,cve2015,wordpress,wp-plugin,lfi,wp"
CVE-2014-8799,Blocked,WordPress Plugin DukaPress 2.5.2 - Directory Traversal,high,None,None,"cve,cve2014,wordpress,wp-plugin,lfi,edb"
CVE-2019-19781,Blocked,Citrix ADC and Gateway - Directory Traversal,critical,9.8,CWE-22,"cve,cve2019,citrix,lfi,kev"
CVE-2020-19360,Blocked,FHEM 6.0 - Local File Inclusion,high,7.5,None,"fhem,lfi,cve,cve2020"
CVE-2018-16716,Blocked,NCBI ToolBox - Directory Traversal,critical,9.1,CWE-22,"cve,cve2018,ncbi,lfi"
CVE-2020-27467,Blocked,Processwire CMS <2.7.1 - Local File Inclusion,high,7.5,CWE-22,"cve,cve2020,processwire,lfi,cms,oss"
CVE-2019-14205,Blocked,WordPress Nevma Adaptive Images <0.6.67 - Local File Inclusion,high,7.5,CWE-22,"cve,cve2019,wordpress,wp-plugin,lfi,wp"
CVE-2014-3744,Blocked,Node.js st module Directory Traversal,high,7.5,CWE-22,"cve,cve2014,lfi,nodejs,st"
CVE-2010-1354,Blocked,Joomla! Component VJDEO 1.0 - Local File Inclusion,high,None,None,"cve,cve2010,joomla,lfi,edb,packetstorm"
CVE-2013-5528,Blocked,Cisco Unified Communications Manager 7/8/9 - Directory Traversal,high,None,None,"cve,cve2013,lfi,cisco,edb"
CVE-2008-6172,Blocked,Joomla! Component RWCards 3.0.11 - Local File Inclusion,high,None,None,"cve2008,joomla,lfi,edb,cve"
CVE-2010-1953,Blocked,Joomla! Component iNetLanka Multiple Map 1.0 - Local File Inclusion,high,None,None,"cve2010,joomla,lfi,edb,cve"
CVE-2010-2033,Blocked,Joomla! Percha Categories Tree 0.6 - Local File Inclusion,high,None,None,"packetstorm,cve,cve2010,joomla,lfi"
CVE-2011-4804,Blocked,Joomla! Component com_kp - 'Controller' Local File Inclusion,high,None,None,"lfi,edb,cve,cve2011,joomla"
CVE-2010-2036,Blocked,Joomla! Component Percha Fields Attach 1.0 - Directory Traversal,high,None,None,"cve2010,lfi,joomla,edb,packetstorm,cve"
CVE-2020-15050,Not Blocked,Suprema BioStar <2.8.2 - Local File Inclusion,high,7.5,CWE-22,"suprema,biostar2,packetstorm,cve,cve2020,lfi"
CVE-2010-1353,Blocked,Joomla! Component LoginBox - Local File Inclusion,high,None,None,"cve,cve2010,joomla,lfi,edb"
CVE-2020-26073,Blocked,Cisco SD-WAN vManage Software - Local File Inclusion,high,None,None,"cve,cve2020,cisco,lfi"
CVE-2021-28918,Blocked,Netmask NPM Package - Server-Side Request Forgery,critical,9.1,CWE-20,"cve,cve2021,npm,netmask,ssrf,lfi"
CVE-2020-3452,Blocked,Cisco Adaptive Security Appliance (ASA)/Firepower Threat Defense (FTD) - Local File Inclusion,high,7.5,CWE-20,"lfi,kev,packetstorm,cve,cve2020,cisco"
CVE-2019-2588,Blocked,Oracle Business Intelligence  - Path Traversal,medium,4.9,None,"cve,cve2019,oracle,lfi"
CVE-2017-10974,Blocked,Yaws 1.91 - Local File Inclusion,high,7.5,CWE-22,"edb,cve,cve2017,yaws,lfi"
CVE-2018-16299,Blocked,WordPress Localize My Post 1.0 - Local File Inclusion,high,7.5,CWE-22,"wordpress,lfi,plugin,wp,edb,packetstorm,cve,cve2018"
CVE-2018-10201,Blocked,Ncomputing vSPace Pro 10 and 11 - Directory Traversal,high,7.5,CWE-22,"cve2018,ncomputing,lfi,packetstorm,cve"
CVE-2020-8982,Blocked,Citrix ShareFile StorageZones <=5.10.x - Arbitrary File Read,high,7.5,CWE-22,"cve,cve2020,citrix,lfi"
CVE-2022-40881,Blocked,SolarView 6.00 - Remote Command Execution,critical,9.8,CWE-77,"cve,cve2022,solarview,rce,lfi"
CVE-2015-5688,Blocked,Geddy <13.0.8 - Local File Inclusion,high,None,None,"cve,cve2015,geddy,lfi"
CVE-2018-14912,Blocked,cgit < 1.2.1 - Directory Traversal,high,7.5,CWE-22,"cve,cve2018,cgit,lfi"
CVE-2009-1558,Blocked,Cisco Linksys WVC54GCA 1.00R22/1.00R24 - Local File Inclusion,high,8.6,CWE-22,"cve,iot,linksys,camera,traversal,cve2009,lfi,cisco,firmware,edb"
CVE-2014-8676,Blocked,Simple Online Planning Tool <1.3.2 - Local File Inclusion,medium,5.3,CWE-22,"packetstorm,edb,seclists,cve,cve2014,soplanning,lfi"
CVE-2018-18323,Blocked,Centos Web Panel 0.9.8.480 - Local File Inclusion,high,7.5,CWE-22,"cve,cve2018,centos,lfi,packetstorm"
CVE-2018-15535,Blocked,Responsive FileManager <9.13.4 - Local File Inclusion,high,7.5,CWE-22,"cve,cve2018,lfi,edb,seclists"
CVE-2019-8982,Blocked,Wavemaker Studio 6.6 - Local File Inclusion/Server-Side Request Forgery,critical,9.6,CWE-918,"cve,cve2019,wavemaker,lfi,ssrf,edb"
CVE-2017-14537,Blocked,Trixbox 2.8.0 - Path Traversal,medium,6.5,CWE-22,"cve,cve2017,trixbox,lfi"
CVE-2017-12637,Blocked,SAP NetWeaver Application Server Java 7.5 - Local File Inclusion,high,7.5,CWE-22,"cve,cve2017,sap,lfi,java,traversal"
CVE-2010-1981,Blocked,Joomla! Component Fabrik 2.0 - Local File Inclusion,high,None,None,"cve,cve2010,joomla,lfi,edb,packetstorm"
CVE-2021-40960,Blocked,Galera WebTemplate 1.0 Directory Traversal,critical,9.8,CWE-22,"cve,cve2021,lfi"
CVE-2022-26960,Blocked,elFinder <=2.1.60 - Local File Inclusion,critical,9.1,CWE-22,"cve,cve2022,lfi,elfinder"
CVE-2021-32820,Blocked,Express-handlebars - Local File Inclusion,high,8.6,CWE-200,"cve,cve2021,expressjs,lfi,xxe"
CVE-2010-4239,Blocked,Tiki Wiki CMS Groupware 5.2 - Local File Inclusion,critical,9.8,CWE-20,"cve,cve2010,tikiwiki,lfi"
CVE-2022-1391,Blocked,WordPress Cab fare calculator < 1.0.4 - Local File Inclusion,critical,9.8,CWE-22,"cve2022,wordpress,wp-plugin,lfi,wp,edb,wpscan,cve"
CVE-2010-2037,Blocked,Joomla! Component Percha Downloads Attach 1.1 - Directory Traversal,high,None,None,"joomla,edb,packetstorm,cve,cve2010,lfi"
CVE-2015-1579,Blocked,WordPress Slider Revolution - Local File Disclosure,high,7.5,CWE-22,"wordpress,wp-plugin,lfi,revslider,wp,wpscan,cve,cve2015"
CVE-2018-16133,Blocked,Cybrotech CyBroHttpServer 1.0.3 - Local File Inclusion,medium,5.3,CWE-22,"lfi,packetstorm,cve,cve2018,cybrotech"
CVE-2012-0896,Blocked,Count Per Day <= 3.1 - download.php f Parameter Traversal Arbitrary File Access,high,None,None,"packetstorm,cve,cve2012,lfi,wordpress,wp-plugin,traversal"
CVE-2019-9922,Blocked,Joomla! Harmis Messenger 1.2.2 - Local File Inclusion,high,7.5,CWE-22,"cve,cve2019,joomla,messenger,lfi"
CVE-2022-24900,Blocked,Piano LED Visualizer 1.3 - Local File Inclusion,high,8.6,CWE-610,"cve,cve2022,lfi,piano,iot,oss"
CVE-2010-0944,Blocked,Joomla! Component com_jcollection - Directory Traversal,high,None,None,"cve2010,joomla,lfi,edb,packetstorm,cve"
CVE-2008-1059,Blocked,WordPress Sniplets 1.1.2 - Local File Inclusion,high,7.2,CWE-79,"lfi,cve,cve2008,wordpress,wp-plugin,wp,sniplets,edb,wpscan"
CVE-2010-2259,Blocked,Joomla! Component com_bfsurvey - Local File Inclusion,high,None,None,"cve2010,joomla,lfi,edb,cve"
CVE-2016-10367,Blocked,Opsview Monitor Pro - Local File Inclusion,high,7.5,CWE-22,"cve,cve2016,opsview,lfi"
CVE-2021-24227,Blocked,Patreon WordPress  <1.7.0 - Unauthenticated Local File Inclusion,high,7.5,CWE-200,"wordpress,patreon-connect,unauth,cve2021,lfi,patreon,wp,wpscan,cve"
CVE-2015-4694,Blocked,WordPress Zip Attachments <= 1.1.4 - Arbitrary File Retrieval,high,8.6,CWE-22,"cve2015,wp-plugin,wpscan,lfi,wordpress,cve"
CVE-2021-20124,Blocked,Draytek VigorConnect 6.0-B3 - Local File Inclusion,high,7.5,CWE-668,"cve,cve2021,draytek,lfi,vigorconnect,tenable"
CVE-2010-0759,Blocked,Joomla! Plugin Core Design Scriptegrator - Local File Inclusion,high,None,None,"cve,cve2010,joomla,lfi,plugin,edb"
CVE-2016-10956,Blocked,WordPress Mail Masta 1.0 - Local File Inclusion,high,7.5,CWE-20,"cve,cve2016,wordpress,wp-plugin,lfi,mail"
