cve,blocked,name,severity,cvss-score,cwe-id,tags
CVE-2022-0785,Blocked,WordPress Daily Prayer Time <2022.03.01 - SQL Injection,critical,9.8,CWE-89,"sqli,wordpress,wp-plugin,unauth,daily-prayer-time-for-mosques,wpscan,cve,cve2022,wp"
CVE-2020-22209,Blocked,74cms - ajax_common.php SQL Injection,critical,9.8,CWE-89,"cve,cve2020,74cms,sqli"
CVE-2021-3110,Blocked,PrestaShop 1.7.7.0 - SQL Injection,critical,9.8,CWE-89,"cve,cve2021,sqli,prestshop,edb"
CVE-2014-2323,Not Blocked,Lighttpd 1.4.34 SQL Injection and Path Traversal,critical,9.8,CWE-89,"lighttpd,injection,seclists,cve,cve2014,sqli"
CVE-2014-3704,Blocked,Drupal SQL Injection,high,None,None,"edb,cve,cve2014,drupal,sqli"
CVE-2022-27927,Blocked,Microfinance Management System 1.0 - SQL Injection,critical,9.8,CWE-89,"microfinance,edb,cve,cve2022,sqli"
CVE-2022-0412,Blocked,WordPress TI WooCommerce Wishlist <1.40.1 - SQL Injection,critical,9.8,CWE-89,"sqli,ti-woocommerce-wishlist,wpscan,cve,cve2022,woocommerce,wordpress,wp-plugin,wp"
CVE-2017-11444,Blocked,Subrion CMS <4.1.5.10 - SQL Injection,critical,9.8,CWE-89,"cve,cve2017,sqli,subrion"
CVE-2022-1057,Blocked,WordPress Pricing Deals for WooCommerce <=2.0.2.02 - SQL Injection,critical,9.8,CWE-89,"cve,cve2022,sqli,wpscan,wordpress,wp-plugin,wp,pricing-deals-for-woocommerce,unauth"
CVE-2016-10134,Blocked,Zabbix - SQL Injection,critical,9.8,CWE-89,"cve,cve2016,zabbix,sqli,vulhub"
CVE-2019-10692,Blocked,WordPress Google Maps <7.11.18 - SQL Injection,critical,9.8,CWE-89,"cve,cve2019,wp,wp-plugin,unauth,sqli,wordpress,googlemaps,wpscan"
CVE-2022-29006,Partial block (50.0%),Directory Management System 1.0 - SQL Injection,critical,9.8,CWE-89,"cve,cve2022,sqli,auth-bypass,edb"
CVE-2021-24946,Blocked,Modern Events Calendar < 6.1.5 - Blind SQL Injection,critical,9.8,CWE-89,"wordpress,wp-plugin,wp,unauth,wpscan,cve,cve2021,sqli,modern-events-calendar-lite"
CVE-2022-24124,Blocked,Casdoor 1.13.0 - Unauthenticated SQL Injection,high,7.5,CWE-89,"sqli,unauth,packetstorm,edb,cve,cve2022,casdoor"
CVE-2014-8682,Blocked,Gogs (Go Git Service) - SQL Injection,critical,10,CWE-89,"gogs,seclists,packetstorm,edb,cve,cve2014,sqli"
CVE-2022-33965,Blocked,WordPress Visitor Statistics <=5.7 - SQL Injection,critical,9.8,CWE-89,"cve,cve2022,wordpress,wp-plugin,wp,unauth,sqli,wp-stats-manager"
CVE-2022-0784,Blocked,Title Experiments Free < 9.0.1 - Unauthenticated SQLi,critical,9.8,CWE-89,"cve,wpscan,wp-plugin,wp,sqli,wp-experiments-free,unauth,cve2022,wordpress"
CVE-2021-43510,Partial block (50.0%),Sourcecodester Simple Client Management System 1.0 - SQL Injection,critical,9.8,CWE-89,"cve,cve2021,simpleclientmanagement,sqli,auth-bypass"
CVE-2020-10547,Blocked,rConfig 3.9.4 - SQL Injection,critical,9.8,"CWE-89,CWE-522","cve,cve2020,rconfig,sqli"
CVE-2020-26248,Blocked,PrestaShop Product Comments <4.2.0 - SQL Injection,high,8.2,CWE-89,"cve,cve2020,sqli,prestshop,packetstorm"
CVE-2020-22210,Blocked,74cms - ajax_officebuilding.php SQL Injection,critical,9.8,CWE-89,"cve,cve2020,74cms,sqli"
CVE-2020-10549,Blocked,rConfig <=3.9.4 - SQL Injection,critical,9.8,"CWE-89,CWE-522","cve,cve2020,rconfig,sqli"
CVE-2021-22911,Blocked,Rocket.Chat <=3.13 - NoSQL Injection,critical,9.8,CWE-89,"rocketchat,nosqli,packetstorm,vulhub,hackerone,cve,cve2021"
CVE-2019-13462,Blocked,Lansweeper Unauthenticated SQL Injection,critical,9.1,CWE-89,"cve,cve2019,sqli,lansweeper"
CVE-2022-29383,Blocked,NETGEAR ProSafe SSL VPN firmware - SQL Injection,critical,9.8,None,"cve,cve2022,sqli,netgear,router"
CVE-2017-8917,Blocked,Joomla! <3.7.1 - SQL Injection,critical,9.8,CWE-89,"cve,cve2017,joomla,sqli"
CVE-2020-35847,Blocked,Agentejo Cockpit <0.11.2 - NoSQL Injection,critical,9.8,CWE-89,"cve,cve2020,nosqli,sqli,cockpit,injection"
CVE-2020-10548,Blocked,rConfig 3.9.4 - SQL Injection,critical,9.8,"CWE-89,CWE-522","cve,cve2020,rconfig,sqli"
CVE-2022-0867,Partial block (50.0%),WordPress ARPrice <3.6.1 - SQL Injection,critical,9.8,CWE-89,"unauth,wp,cve2022,wordpress,wp-plugin,arprice-responsive-pricing-table,sqli,wpscan,cve"
CVE-2021-41648,Blocked,PuneethReddyHC action.php SQL Injection,high,7.5,CWE-89,"cve,cve2021,sqli,injection"
CVE-2020-29284,Blocked,Sourcecodester Multi Restaurant Table Reservation System 1.0 - SQL Injection,critical,9.8,CWE-89,"cve2020,tablereservation,sqli,unauth,edb,cve"
CVE-2022-30512,Blocked,School Dormitory Management System 1.0 - SQL Injection,critical,9.8,CWE-89,"cve,cve2022,sqli"
CVE-2021-24340,Not Blocked,WordPress Statistics <13.0.8 - Blind SQL Injection,high,7.5,CWE-89,"cve,wp-plugin,unauth,wpscan,cve2021,wordpress,sqli,blind,edb"
CVE-2020-22211,Blocked,74cms - ajax_street.php 'key' SQL Injection,critical,9.8,CWE-89,"cve,cve2020,74cms,sqli"
CVE-2021-36748,Blocked,PrestaHome Blog for PrestaShop <1.7.8 - SQL Injection,high,7.5,CWE-89,"cve,cve2021,prestashop,prestahome,sqli,cms"
CVE-2022-24260,Blocked,VoipMonitor - Pre-Auth SQL Injection,critical,9.8,CWE-89,"cve,cve2022,voipmonitor,sqli,unauth"
CVE-2019-10232,Blocked,Teclib GLPI <= 9.3.3 - Unauthenticated SQL Injection,critical,9.8,CWE-89,"cve,cve2019,glpi,sqli,injection"
CVE-2022-1768,Blocked,WordPress RSVPMaker <=9.3.2 - SQL Injection,high,7.5,CWE-89,"cve,cve2022,wordpress,wp-plugin,wp,sqli,rsvpmaker"
CVE-2021-32789,Blocked,WooCommerce Blocks 2.5 to 5.5 - Unauthenticated SQL Injection,high,7.5,CWE-89,"cve,cve2021,wordpress,woocommerce,sqli,wp-plugin,wp,wpscan"
CVE-2022-0817,Blocked,WordPress BadgeOS <=3.7.0 - SQL Injection,critical,9.8,CWE-89,"cve2022,wp,unauth,sqli,cve,wp-plugin,badgeos,wpscan,wordpress"
CVE-2022-0786,Blocked,KiviCare < 2.3.9 - Unauthenticated SQLi,critical,9.8,CWE-89,"sqli,kivicare-clinic-management-system,unauth,wordpress,wp-plugin,wp,cve,cve2022,wpscan"
CVE-2022-32024,Blocked,Car Rental Management System 1.0 - SQL Injection,high,7.2,CWE-89,"cve,cve2022,carrental,cms,sqli,authenticated"
CVE-2022-0948,Partial block (50.0%),Order Listener for WooCommerce < 3.2.2 - Unauthenticated SQLi,critical,9.8,CWE-89,"cve,wp,unauth,sqli,woc-order-alert,wpscan,cve2022,wordpress,wp-plugin"
CVE-2022-0434,Blocked,WordPress Page Views Count <2.4.15 - SQL Injection,critical,9.8,CWE-89,"cve,cve2022,wordpress,wp-plugin,wp,sqli,wpscan,unauth"
CVE-2019-2579,Blocked,Oracle Fusion Middleware WebCenter Sites 12.2.1.3.0 - SQL Injection,medium,4.3,None,"cve,cve2019,oracle,wcs,sqli"
CVE-2021-24762,Blocked,WordPress Perfect Survey<1.5.2 - SQL Injection,critical,9.8,CWE-89,"cve,wpscan,cve2021,sqli,wp,wordpress,wp-plugin,unauth,edb"
CVE-2018-17254,Blocked,Joomla! JCK Editor SQL Injection,critical,9.8,CWE-89,"cve,cve2018,packetstorm,edb,joomla,sqli"
CVE-2020-12720,Blocked,vBulletin SQL Injection,critical,9.8,"CWE-89,CWE-306","cve2020,vbulletin,sqli,packetstorm,cve"
CVE-2021-24827,Blocked,Asgaros Forum < 1.15.13 - Unauthenticated SQL Injection,critical,9.8,CWE-89,"cve2022,wp-plugin,asgaros-forum,unauth,wpscan,cve,wordpress,wp,sqli"
CVE-2021-31856,Blocked,Layer5 Meshery 0.5.2 - SQL Injection,critical,9.8,CWE-89,"sqli,cve,cve2021"
