cve,blocked,name,severity,cvss-score,cwe-id,tags
CVE-2020-9402,Blocked,Django SQL Injection,high,8.8,CWE-89,"cve,cve2020,django,sqli,vulhub"
CVE-2022-0412,Blocked,WordPress TI WooCommerce Wishlist <1.40.1 - SQL Injection,critical,9.8,CWE-89,"sqli,ti-woocommerce-wishlist,wpscan,cve,cve2022,woocommerce,wordpress,wp-plugin,wp"
CVE-2020-10546,Blocked,rConfig 3.9.4 - SQL Injection,critical,9.8,"CWE-89,CWE-522","cve,cve2020,rconfig,sqli"
CVE-2020-14092,Blocked,WordPress PayPal Pro <1.1.65 - SQL Injection,critical,9.8,CWE-89,"wp-plugin,sqli,paypal,wpscan,cve,cve2020,wordpress"
CVE-2022-0785,Blocked,WordPress Daily Prayer Time <2022.03.01 - SQL Injection,critical,9.8,CWE-89,"sqli,wordpress,wp-plugin,unauth,daily-prayer-time-for-mosques,wpscan,cve,cve2022,wp"
CVE-2022-30512,Blocked,School Dormitory Management System 1.0 - SQL Injection,critical,9.8,CWE-89,"cve,cve2022,sqli"
CVE-2022-32022,Partial block (50.0%),Car Rental Management System 1.0 - SQL Injection,high,7.2,CWE-89,"cve,cve2022,carrental,cms,sqli,login-bypass"
CVE-2019-7481,Blocked,SonicWall SRA 4600 VPN - SQL Injection,high,7.5,CWE-89,"cve,cve2019,sonicwall,sqli,kev"
CVE-2018-17254,Blocked,Joomla! JCK Editor SQL Injection,critical,9.8,CWE-89,"cve,cve2018,packetstorm,edb,joomla,sqli"
CVE-2021-22911,Blocked,Rocket.Chat <=3.13 - NoSQL Injection,critical,9.8,CWE-89,"rocketchat,nosqli,packetstorm,vulhub,hackerone,cve,cve2021"
CVE-2022-29007,Partial block (50.0%),Dairy Farm Shop Management System 1.0 - SQL Injection,critical,9.8,CWE-89,"cve,cve2022,sqli,auth-bypass,edb"
CVE-2020-22209,Blocked,74cms - ajax_common.php SQL Injection,critical,9.8,CWE-89,"cve,cve2020,74cms,sqli"
CVE-2016-10134,Blocked,Zabbix - SQL Injection,critical,9.8,CWE-89,"cve,cve2016,zabbix,sqli,vulhub"
CVE-2022-0788,Blocked,WordPress WP Fundraising Donation and Crowdfunding Platform <1.5.0 - SQL Injection,critical,9.8,CWE-89,"cve,sqli,wordpress,wp-plugin,cve2022,wp,wp-fundraising-donation,unauth,wpscan"
CVE-2020-10547,Blocked,rConfig 3.9.4 - SQL Injection,critical,9.8,"CWE-89,CWE-522","cve,cve2020,rconfig,sqli"
CVE-2022-4050,Blocked,WordPress JoomSport <5.2.8 - SQL Injection,critical,9.8,CWE-89,"wpscan,cve,cve2022,wp-plugin,wp,joomsport-sports-league-results-management,wordpress,sqli,unauth"
CVE-2014-3704,Blocked,Drupal SQL Injection,high,None,None,"edb,cve,cve2014,drupal,sqli"
CVE-2020-26248,Blocked,PrestaShop Product Comments <4.2.0 - SQL Injection,high,8.2,CWE-89,"cve,cve2020,sqli,prestshop,packetstorm"
CVE-2022-29009,Partial block (50.0%),Cyber Cafe Management System 1.0 - SQL Injection,critical,9.8,CWE-89,"cve2022,sqli,auth-bypass,edb,cve"
CVE-2023-23488,Partial block (50.0%),Paid Memberships Pro < 2.9.8 - Unauthenticated Blind SQLi,critical,9.8,CWE-89,"wp-plugin,wp,sqli,paid-memberships-pro,cve,cve2023,wordpress,tenable"
CVE-2022-0784,Blocked,WordPress Title Experiments Free <9.0.1 - SQL Injection,critical,9.8,CWE-89,"cve,wpscan,wp-plugin,wp,sqli,wp-experiments-free,unauth,cve2022,wordpress"
CVE-2014-2323,Not Blocked,Lighttpd 1.4.34 SQL Injection and Path Traversal,critical,9.8,CWE-89,"lighttpd,injection,seclists,cve,cve2014,sqli"
CVE-2022-0786,Blocked,WordPress KiviCare <2.3.9 - SQL Injection,critical,9.8,CWE-89,"sqli,kivicare-clinic-management-system,unauth,wordpress,wp-plugin,wp,cve,cve2022,wpscan"
CVE-2017-8917,Blocked,Joomla! <3.7.1 - SQL Injection,critical,9.8,CWE-89,"cve,cve2017,joomla,sqli"
CVE-2022-29383,Blocked,NETGEAR ProSafe SSL VPN firmware - SQL Injection,critical,9.8,None,"cve,cve2022,sqli,netgear,router"
CVE-2020-5307,Blocked,PHPGurukul Dairy Farm Shop Management System 1.0 - SQL Injection,critical,9.8,CWE-89,"sqli,edb,cve,cve2020"
CVE-2022-0349,Blocked,WordPress NotificationX <2.3.9 - SQL Injection,critical,9.8,CWE-89,"cve2022,wordpress,wp-plugin,wp,sqli,notificationx,wpscan,cve"
CVE-2022-1883,Blocked,Terraboard <2.2.0 - SQL Injection,high,8.8,CWE-89,"cve,cve2022,terraboard,sqli,huntr"
CVE-2022-32028,Blocked,Car Rental Management System 1.0 - SQL Injection,high,7.2,CWE-89,"cve,cve2022,carrental,cms,sqli,authenticated"
CVE-2021-44427,Blocked,Rosario Student Information System Unauthenticated SQL Injection,critical,9.8,CWE-89,"cve,cve2021,sqli,rosariosis"
CVE-2021-24762,Blocked,WordPress Perfect Survey<1.5.2 - SQL Injection,critical,9.8,CWE-89,"cve,wpscan,cve2021,sqli,wp,wordpress,wp-plugin,unauth,edb"
CVE-2022-0817,Blocked,WordPress BadgeOS <=3.7.0 - SQL Injection,critical,9.8,CWE-89,"cve2022,wp,unauth,sqli,cve,wp-plugin,badgeos,wpscan,wordpress"
CVE-2020-10548,Blocked,rConfig 3.9.4 - SQL Injection,critical,9.8,"CWE-89,CWE-522","cve,cve2020,rconfig,sqli"
CVE-2022-32025,Blocked,Car Rental Management System 1.0 - SQL Injection,high,7.2,CWE-89,"cve,cve2022,carrental,cms,sqli,authenticated"
CVE-2020-9483,Blocked,SkyWalking SQLI,high,7.5,CWE-89,"cve,cve2020,sqli,skywalking"
CVE-2020-29284,Blocked,Sourcecodester Multi Restaurant Table Reservation System 1.0 - SQL Injection,critical,9.8,CWE-89,"cve2020,tablereservation,sqli,unauth,edb,cve"
CVE-2021-25899,Blocked,Void Aural Rec Monitor 9.0.0.1 - SQL Injection,high,7.5,CWE-89,"cve,cve2021,sqli,void,aurall"
CVE-2022-32094,Blocked,Hospital Management System 1.0 - SQL Injection,critical,9.8,CWE-89,"cve,cve2022,hms,cms,sqli,auth-bypass"
CVE-2021-41649,Blocked,PuneethReddyHC Online Shopping System homeaction.php SQL Injection,critical,9.8,CWE-89,"cve,cve2021,sqli,injection"
CVE-2020-35846,Blocked,Agentejo Cockpit < 0.11.2 - NoSQL Injection,critical,9.8,CWE-89,"cve,cve2020,nosqli,sqli,cockpit,injection"
CVE-2020-22208,Blocked,74cms - ajax_street.php 'x' SQL Injection,critical,9.8,CWE-89,"cve,cve2020,74cms,sqli"
CVE-2021-25114,Partial block (50.0%),Paid Memberships Pro < 2.6.7 - Unauthenticated Blind SQL Injection,critical,9.8,CWE-89,"wp-plugin,wp,sqli,paid-memberships-pro,wpscan,cve,cve2021,wordpress"
CVE-2019-10692,Blocked,WordPress Google Maps <7.11.18 - SQL Injection,critical,9.8,CWE-89,"cve,cve2019,wp,wp-plugin,unauth,sqli,wordpress,googlemaps,wpscan"
CVE-2022-34590,Blocked,Hospital Management System 1.0 - SQL Injection,high,7.2,CWE-89,"cve,cve2022,hms,cms,sqli"
CVE-2021-3110,Blocked,PrestaShop 1.7.7.0 - SQL Injection,critical,9.8,CWE-89,"cve,cve2021,sqli,prestshop,edb"
