cve,blocked,name,severity,cvss-score,cwe-id,tags
CVE-2017-15715,Blocked,Apache httpd <=2.4.29 - Arbitrary File Upload,high,8.1,CWE-20,"apache,httpd,fileupload,vulhub,cve,cve2017,intrusive"
CVE-2021-1499,Not Blocked,Cisco HyperFlex HX Data Platform - Arbitrary File Upload,medium,5.3,CWE-306,"fileupload,intrusive,packetstorm,cve,cve2021,cisco"
CVE-2020-28871,Partial block (50.0%),Monitorr 1.7.6m - Unauthenticated Remote Code Execution,critical,9.8,CWE-434,"cve2020,monitorr,rce,oast,unauth,edb,cve,fileupload,intrusive"
CVE-2020-35489,Not Blocked,WordPress Contact Form 7 - Unrestricted File Upload,critical,10,CWE-434,"cve,cve2020,wordpress,wp-plugin,rce,fileupload,intrusive"
CVE-2022-0595,Not Blocked,WordPress Contact Form 7 <1.3.6.3 - Stored Cross-Site Scripting,medium,5.4,CWE-79,"cve,cve2022,xss,wordpress,wp-plugin,wpscan,fileupload,intrusive,unauth"
CVE-2022-39952,Not Blocked,FortiNAC Unauthenticated Arbitrary File Write,critical,9.8,CWE-610,"fortinet,fortinac,cve,cve2022,fileupload,rce,intrusive"
CVE-2020-25213,Blocked,WordPress File Manager Plugin - Remote Code Execution,critical,9.8,CWE-434,"cve,cve2020,wordpress,rce,kev,fileupload,intrusive"
CVE-2020-29597,Not Blocked,IncomCMS 2.0 - Arbitrary File Upload,critical,9.8,CWE-434,"cve,cve2020,incomcms,fileupload,intrusive"
CVE-2022-26352,Not Blocked,DotCMS - Arbitrary File Upload,critical,9.8,"CWE-22,CWE-434","packetstorm,cve,cve2022,rce,dotcms,kev,fileupload,intrusive"
CVE-2017-6090,Partial block (50.0%),PhpColl 2.5.1 Arbitrary File Upload,high,8.8,CWE-434,"cve2017,phpcollab,rce,fileupload,edb,cve,intrusive"
CVE-2021-45428,Partial block (33.33333333333333%),Telesquare TLR-2005KSH 1.0.0 - Arbitrary File Upload,critical,9.8,CWE-639,"cve,cve2021,telesquare,intrusive,fileupload,packetstorm"
CVE-2020-17518,Partial block (50.0%),Apache Flink 1.5.1 - Local File Inclusion,high,7.5,CWE-22,"lfi,flink,fileupload,vulhub,cve,cve2020,apache,intrusive"
CVE-2019-1821,Not Blocked,Cisco Prime Infrastructure and Cisco Evolved Programmable Network Manager - Remote Code Execution,critical,9.8,CWE-20,"cve,cve2019,rce,fileupload,unauth,intrusive,cisco"
CVE-2021-22005,Not Blocked,VMware vCenter Server - Arbitrary File Upload,critical,9.8,CWE-434,"cve,cve2021,vmware,vcenter,fileupload,kev,intrusive"
CVE-2020-12800,Partial block (50.0%),WordPress Contact Form 7 <1.3.3.3 - Remote Code Execution,critical,9.8,CWE-434,"wordpress,wp-plugin,fileupload,wp,rce,packetstorm,cve,cve2020,intrusive"
CVE-2021-3378,Partial block (50.0%),FortiLogger 4.4.2.2 - Arbitrary File Upload,critical,9.8,CWE-434,"fortilogger,fortigate,fortinet,packetstorm,cve,cve2021,fileupload,intrusive"
CVE-2021-24284,Partial block (50.0%),WordPress Kaswara Modern VC Addons <=3.0.1 - Arbitrary File Upload,critical,9.8,CWE-434,"intrusive,unauth,fileupload,wpscan,cve,wordpress,wp-plugin,rce,cve2021,wp"
CVE-2017-12615,Blocked,Apache Tomcat Servers - Remote Code Execution,high,8.1,CWE-434,"rce,tomcat,kev,cisa,vulhub,cve,cve2017,apache,fileupload"
CVE-2022-1574,Partial block (50.0%),WordPress HTML2WP <=1.0.0 - Arbitrary File Upload,critical,9.8,CWE-434,"wp-plugin,wp,fileupload,unauth,wpscan,cve2022,wordpress,intrusive,cve,html2wp"
CVE-2021-21978,Blocked,VMware View Planner <4.6 SP1- Remote Code Execution,critical,9.8,CWE-434,"cve,cve2021,vmware,rce,packetstorm,fileupload,intrusive"
CVE-2016-3088,Partial block (50.0%),Apache ActiveMQ Fileserver - Arbitrary File Write,critical,9.8,CWE-20,"fileupload,kev,edb,cve,cve2016,apache,activemq,intrusive"
CVE-2021-40870,Partial block (50.0%),Aviatrix Controller 6.x before 6.5-1804.1922 Remote Command Execution,critical,9.8,CWE-434,"cve,cve2021,rce,aviatrix,kev,fileupload,intrusive"
CVE-2022-29464,Not Blocked,WSO2 Management - Arbitrary File Upload & Remote Code Execution,critical,9.8,CWE-434,"cve,cve2022,rce,fileupload,wso2,intrusive,kev"
CVE-2020-23972,Blocked,Joomla! Component GMapFP 3.5 - Arbitrary File Upload,high,7.5,CWE-434,"cve,cve2020,joomla,edb,packetstorm,fileupload,intrusive"
CVE-2019-20183,Blocked,Simple Employee Records System 1.0 - Unrestricted File Upload,high,7.2,CWE-434,"edb,cve,cve2019,rce,intrusive,fileupload"
CVE-2018-20526,Blocked,Roxy Fileman 1.4.5 - Unrestricted File Upload,critical,9.8,CWE-434,"cve,cve2018,roxy,fileman,rce,fileupload,intrusive,packetstorm,edb"
CVE-2021-24236,Not Blocked,WordPress Imagements <=1.2.5 - Arbitrary File Upload,critical,9.8,CWE-434,"cve,wp,unauth,imagements,wpscan,cve2021,fileupload,wordpress,wp-plugin,intrusive"
CVE-2020-24186,Not Blocked,WordPress wpDiscuz <=7.0.4 - Remote Code Execution,critical,10,CWE-434,"rce,fileupload,packetstorm,cve,cve2020,wordpress,wp-plugin,intrusive"
CVE-2018-15961,Not Blocked,Adobe ColdFusion - Unrestricted File Upload Remote Code Execution,critical,9.8,CWE-434,"cve,cve2018,adobe,rce,coldfusion,fileupload,kev,intrusive"
