cve,blocked,name,severity,cvss-score,cwe-id,tags
CVE-2022-4060,Blocked,User Post Gallery <= 2.19 - Unauthenticated RCE,critical,9.8,CWE-94,"unauth,wpscan,cve2022,rce,wordpress,wp-plugin,wp,cve,wp-upg"
CVE-2020-15568,Partial block (50.0%),TerraMaster TOS <.1.29 - Remote Code Execution,critical,9.8,CWE-913,"cve,cve2020,terramaster,rce"
CVE-2018-5316,Blocked,WordPress SagePay Server Gateway for WooCommerce <1.0.9 - Cross-Site Scripting,medium,6.1,CWE-79,"cve2018,wordpress,xss,wp-plugin,woocommerce,packetstorm,cve"
CVE-2019-9041,Blocked,ZZZCMS 1.6.1 - Remote Code Execution,high,7.2,CWE-917,"cve,cve2019,zzzcms,rce,edb"
CVE-2018-10823,Not Blocked,D-Link Routers - Remote Command Injection,high,8.8,CWE-78,"cve2018,rce,iot,dlink,router,edb,seclists,cve"
CVE-2020-7980,Blocked,Satellian Intellian Aptus Web <= 1.24 - Remote Command Execution,critical,9.8,CWE-78,"cve,cve2020,intellian,aptus,packetstorm,satellian,rce"
CVE-2014-3206,Not Blocked,Seagate BlackArmor NAS - Command Injection,critical,9.8,CWE-20,"cve,cve2014,seagate,rce,edb"
CVE-2020-35713,Blocked,Belkin Linksys RE6500 <1.0.012.001 - Remote Command Execution,critical,9.8,CWE-78,"cve,cve2020,linksys,rce,oast,router"
CVE-2021-21881,Blocked,Lantronix PremierWave 2050 8.9.0.0R4 - Remote Command Injection,critical,9.9,CWE-78,"cve,cve2021,lantronix,rce,oast,cisco"
CVE-2020-10148,Partial block (50.0%),SolarWinds Orion API - Auth Bypass,critical,9.8,CWE-287,"cve,cve2020,solarwinds,rce,auth-bypass,kev"
CVE-2022-33901,Blocked,MultiSafepay plugin for WooCommerce <= 4.13.1 - Unauthenticated Arbitrary File Read,high,7.5,None,"cve,cve2022,wp-plugin,wp,wordpress,unauth,multisafepay,woocommerce"
CVE-2018-7600,Blocked,Drupal - Remote Code Execution,critical,9.8,CWE-20,"cve,cve2018,drupal,rce,kev,cisa,vulhub"
CVE-2021-3129,Blocked,Laravel with Ignition <= v8.4.2 Debug Mode - Remote Code Execution,critical,9.8,None,"cve,cve2021,laravel,rce,vulhub"
CVE-2018-1335,Blocked,Apache Tika <1.1.8-  Header Command Injection,high,8.1,None,"edb,cve,cve2018,apache,tika,rce"
CVE-2017-9841,Blocked,PHPUnit - Remote Code Execution,critical,9.8,CWE-94,"cve,cve2017,php,phpunit,rce,kev"
CVE-2021-22053,Blocked,Spring Cloud Netflix Hystrix Dashboard <2.2.10 - Remote Code Execution,high,8.8,CWE-94,"rce,spring,cve,cve2021"
CVE-2021-26084,Blocked,Confluence Server - Remote Code Execution,critical,9.8,CWE-74,"cve,cve2021,rce,confluence,injection,ognl,kev"
